name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
HABITACIÓN en la mejor ubicación de REFORMA,7615420,Benjamin,Cuauhtémoc,19.43047,-99.16267,Private room,290,1,89,2.5,2,32
SUPER HABITACIÓN,7681297,Gerardo,Benito Juárez,19.38221,-99.17121,Private room,1080,1,0,0.0,1,0
Great location & security single bedroom Apartment,6203086,Jose,Benito Juárez,19.36891,-99.1801,Private room,280,2,22,0.24,3,347
Fancy Furnished Apartment & Great Location,7738527,Viridiana,Cuauhtémoc,19.42029,-99.17323,Entire home/apt,1333,4,79,0.9,2,365
Quiet and beautiful room Xochimilco,3941419,Luis Mario,Xochimilco,19.27399,-99.12127,Private room,850,1,0,0.0,1,365
Charming loft near Reforma Ave.,7838265,Ernesto,Miguel Hidalgo,19.42833,-99.17634,Entire home/apt,990,7,64,0.7,6,4
Habitación  Frida - design penthouse CDMX,7900007,Leti Y Richard,Benito Juárez,19.38021,-99.16878,Private room,613,1,164,1.78,3,362
"Sunny, Peaceful & Beauty  Apt / 2rooms 1.5 baths",7936694,Luz,Cuauhtémoc,19.41223,-99.1779,Entire home/apt,677,2,190,2.06,3,153
Short/Long Term near Coyoacan&Cntr Nat delas Artes,6373011,La Casita DF,Coyoacán,19.35643,-99.12227,Private room,617,30,3,0.08,2,365
Paseo de la Reforma+Gym+Pool+Sanitized,110218260,Elizabeth,Cuauhtémoc,19.43335,-99.15476,Entire home/apt,1213,2,296,3.24,2,335
Comfy double room w/full breakfast!!!,8069764,Pico,Cuauhtémoc,19.42376,-99.15455,Private room,950,1,13,0.14,8,365
Spaciocius loft in Coyoacan,4079778,Rosa Maria,Coyoacán,19.34378,-99.15994,Entire home/apt,820,1,2,0.02,5,0
SUPER CLEAN great sunny apartment in Del Valle,5341352,Maria Giselle,Benito Juárez,19.37845,-99.17221,Entire home/apt,679,2,43,0.47,2,362
New Suite in Vintage Home in Roma/Condesa,8282570,Thomas,Cuauhtémoc,19.41555,-99.16612,Entire home/apt,1250,3,246,2.67,3,115
CUTE&COZY CENTRAL 2min walk subway,8355403,Nancy,Benito Juárez,19.37109,-99.14475,Private room,515,2,7,0.08,3,270
POLANCO The greatest room in the best location.,8098515,Mauricio,Miguel Hidalgo,19.43868,-99.21314,Private room,680,1,21,0.23,2,364
Recline on the Terrace of this 1920s Art Nouveau Mansion,8282570,Thomas,Cuauhtémoc,19.41501,-99.16565,Entire home/apt,1250,3,230,2.52,3,52
Fabulous Apt heart of Polanco!,8714971,Sandra,Miguel Hidalgo,19.43058,-99.19184,Entire home/apt,1958,5,11,0.13,1,273
Habitación individual c baño propio,796221,Karla,Cuauhtémoc,19.41095,-99.18215,Private room,1323,1,0,0.0,1,365
Roma Norte apt. sleeps 2 (-4),4378849,Gregor,Cuauhtémoc,19.4154,-99.15701,Entire home/apt,1249,10,49,0.54,1,358
Two Floor apartment in Porfirian Town House,18979393,Eva,Cuauhtémoc,19.41919,-99.15894,Entire home/apt,1415,2,202,2.28,2,312
"Cozy apartment in Condesa, Mexico",8879557,Ana & Javier,Cuauhtémoc,19.41105,-99.17436,Entire home/apt,875,2,103,1.16,1,332
"Descansa en la suite del geógrafo, San Angel CDMX",2518152,Martha Y Pancho,Álvaro Obregón,19.34915,-99.19397,Private room,2200,1,31,0.35,6,365
"Cómodo Estudio del Botánico, San Angel CDMX",2518152,Martha Y Pancho,Álvaro Obregón,19.34906,-99.19336,Hotel room,1800,1,34,0.4,6,66
Private room with bathroom for woman,8155176,Samuel,Azcapotzalco,19.46817,-99.16691,Private room,329,2,0,0.0,1,0
Amazing location /  Behind Hilton Hotel,1004821,Angela,Cuauhtémoc,19.43432,-99.14581,Entire home/apt,824,2,200,2.27,10,99
Centric Spacious Home @ La Condesa,4523316,Alicia,Cuauhtémoc,19.40911,-99.16763,Private room,661,3,16,0.18,1,121
Near park Mexico. Brilliant and renovated flat!,1595855,Yahir,Cuauhtémoc,19.41525,-99.16793,Entire home/apt,1800,5,6,0.07,1,350
nice apartment in colonia del Valle,9556116,Raquel,Benito Juárez,19.38144,-99.17096,Entire home/apt,900,5,89,1.01,1,301
2 bedroom Designers PH w/Roof garden,9664207,Francisco,Cuauhtémoc,19.43122,-99.15562,Entire home/apt,1210,1,250,2.82,2,119
"Deluxe double room w/King size bed, breakfast incl",8069764,Pico,Cuauhtémoc,19.42391,-99.15619,Private room,1150,1,3,0.03,8,365
CUTE&COZY II CENTR 2 min walk subwa,8355403,Nancy,Benito Juárez,19.37135,-99.14474,Private room,621,2,6,0.07,3,267
"Bonito, roma norte, ubicadísimo",9949877,Dalia,Cuauhtémoc,19.4221,-99.16886,Private room,350,2,75,0.89,2,363
"Great location, nice apartment",9949877,Dalia,Cuauhtémoc,19.42242,-99.16823,Private room,350,2,140,1.58,2,365
Great 1920's Brownstone La Juárez,3494399,Rodrigo,Cuauhtémoc,19.42072,-99.15759,Entire home/apt,1458,2,189,2.12,1,358
Mountain Oasis surrender by trees,9953466,Gabriela,Tlalpan,19.24444,-99.17044,Private room,424,1,3,0.07,1,365
"Cómodo Estudio del Arqueólogo, San Angel CDMX",2518152,Martha Y Pancho,Álvaro Obregón,19.34888,-99.19277,Private room,1800,1,36,0.42,6,72
"Private room, with private bathroom. Near COLMEX",340030,Griselda,Tlalpan,19.28372,-99.21666,Private room,494,3,2,0.05,2,365
"Depa  2 cuartos, Roma Condesa",10081994,,Cuauhtémoc,19.41063,-99.16575,Entire home/apt,900,2,62,0.7,1,291
CUTE&COZY APART CENT 2 min walk sub,8355403,Nancy,Benito Juárez,19.37044,-99.1447,Entire home/apt,1643,1,9,0.1,3,170
Full appartment in Narvarte,10128524,Jochi,Benito Juárez,19.38597,-99.15545,Entire home/apt,924,365,23,0.26,1,296
Big sunny flat Plaza Rio de Janeiro,10300365,Claire,Cuauhtémoc,19.41979,-99.16363,Entire home/apt,1874,4,56,0.64,1,329
Lovely Bright Studio in Perfect Location!,9155234,Tania,Miguel Hidalgo,19.40137,-99.17173,Entire home/apt,618,3,88,0.99,1,177
